id,name
1,1500
1,1642
1,1656
1,1367
1,1449
1,1467
1,1398
1,1368
1,1643
1,1639
2,1500
2,1467
2,1449
2,1398
2,1642
2,1639
2,1367
2,1080
2,1189
2,1450
3,1500
3,1449
3,1450
3,1398
3,867
3,1080
3,851
3,1463
3,1629
3,1646
4,1642
4,1463
4,1293
4,1500
4,868
4,1080
4,1612
4,1367
4,1368
4,1449
5,1080
5,1500
5,1367
5,1233
5,1449
5,1639
5,1158
5,1251
5,1467
5,1368
6,1500
6,1449
6,1642
6,1367
6,1398
6,1467
6,1064
6,1639
6,1368
6,114
7,1500
7,1467
7,1449
7,1367
7,1643
7,1398
7,1642
7,114
7,1368
7,1629
8,1500
8,1367
8,1398
8,1642
8,1449
8,1467
8,1396
8,1643
8,1368
8,1064
9,1500
9,1367
9,1293
9,1656
9,868
9,1449
9,1398
9,1368
9,1612
9,851
10,1500
10,1467
10,1642
10,1449
10,1643
10,1367
10,1191
10,1293
10,1398
10,1368
11,1293
11,1656
11,1612
11,1662
11,1500
11,1398
11,1467
11,1642
11,1449
11,1643
12,1642
12,1293
12,1500
12,1398
12,1368
12,1449
12,1643
12,1612
12,1080
12,1367
13,1500
13,1642
13,1449
13,1398
13,1467
13,1367
13,1064
13,1524
13,114
13,1639
14,1500
14,1642
14,1449
14,1643
14,1467
14,1367
14,1639
14,1368
14,1398
14,114
15,1500
15,1642
15,1449
15,1467
15,1463
15,1541
15,1293
15,1646
15,1612
15,1398
16,1500
16,1467
16,1367
16,1449
16,1643
16,1642
16,1398
16,1080
16,114
16,1639
17,1500
17,1293
17,868
17,1064
17,851
17,1449
17,1612
17,1467
17,1629
17,1499
18,1612
18,1293
18,1191
18,1175
18,1656
18,1243
18,1642
18,1390
18,1367
18,1500
19,1500
19,1642
19,1629
19,1158
19,1449
19,1639
19,1524
19,1125
19,1398
19,868
20,1191
20,1080
20,1500
20,1642
20,1449
20,1524
20,1398
20,1367
20,1467
20,1158
21,1500
21,1467
21,1449
21,868
21,1064
21,1524
21,1398
21,1306
21,1463
21,1367
22,1080
22,1467
22,1367
22,1398
22,1500
22,1449
22,1191
22,1642
22,1158
22,1639
23,1367
23,1642
23,1500
23,1449
23,1368
23,1080
23,1398
23,1158
23,1467
23,1612
24,1500
24,1656
24,1449
24,1398
24,1467
24,1293
24,1367
24,1643
24,1642
24,119
25,1293
25,1080
25,1500
25,1467
25,1367
25,1398
25,1233
25,1612
25,1191
25,1643
26,1500
26,1467
26,1449
26,1642
26,1293
26,1064
26,851
26,1463
26,1398
26,868
27,1500
27,1398
27,1449
27,1642
27,851
27,119
27,1080
27,1467
27,169
27,114
28,1500
28,1367
28,1293
28,1467
28,1642
28,1080
28,1463
28,1398
28,1449
28,868
29,1500
29,1642
29,1367
29,1450
29,1293
29,1342
29,1398
29,1080
29,1449
29,1612
30,1293
30,1642
30,1500
30,1367
30,1612
30,1449
30,1398
30,1064
30,1368
30,1158
31,1472
31,1642
31,1500
31,1367
31,1547
31,1449
31,1398
31,1368
31,1512
31,851
32,1500
32,1293
32,851
32,1449
32,1467
32,1080
32,1398
32,868
32,1646
32,1639
33,1500
33,868
33,1398
33,1449
33,1642
33,1080
33,1656
33,1629
33,851
33,641
34,1398
34,1396
34,1189
34,1367
34,1656
34,1342
34,851
34,1293
34,1612
34,1443
35,1639
35,1449
35,1189
35,1467
35,1500
35,1463
35,1305
35,1506
35,1524
35,1070
36,1500
36,851
36,1293
36,868
36,1158
36,1612
36,1191
36,867
36,1642
36,1301
37,1642
37,1500
37,1467
37,1449
37,1367
37,1398
37,1064
37,1293
37,1643
37,1524
38,1293
38,1612
38,1467
38,1642
38,1656
38,1646
38,1398
38,1463
38,1358
38,1639
39,1500
